[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:05:13:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:14:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:15:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:16:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:17:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:18:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:19:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:20:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:21:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:22:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:23:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:24:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:25:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:26:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:27:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:28:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:29:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:30:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:31:73][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:32:74][010c, 288][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:33:74][010c, 0][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:34:73][010c, 710][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:35:73][010c, 8903][010d, 163][0110, 56]-
